number,primary,scatter1,scatter2,scatter3,scatter4,scatter5
82,1.000000,1.000000,54819.000000,85952.000000,58942.000000,25068.000000
83,1.000000,1.000000,55178.000000,84180.000000,56384.000000,23075.000000
84,1.000000,1.000000,55890.000000,82008.000000,53029.000000,20901.000000
85,1.000000,1.000000,57145.000000,80973.000000,50292.000000,19093.000000
86,1.000000,1.000000,57392.000000,78796.000000,47400.000000,17686.000000
87,1.000000,1.000000,58591.000000,77485.000000,44788.000000,15982.000000
88,1.000000,1.000000,59570.000000,75931.000000,42776.000000,14913.000000
89,1.000000,1.000000,60608.000000,74831.000000,40492.000000,13295.000000
90,1.000000,1.000000,61919.000000,73580.000000,38522.000000,12427.000000
91,1.000000,1.000000,62955.000000,72155.000000,36580.000000,11547.000000
92,1.000000,1.000000,64259.000000,70592.000000,34715.000000,10435.000000
93,1.000000,1.000000,66236.000000,69191.000000,33157.000000,9632.000000
94,1.000000,1.000000,67667.000000,68400.000000,31225.000000,8899.000000
95,1.000000,1.000000,68558.000000,67865.000000,30285.000000,7997.000000
96,1.000000,1.000000,71132.000000,66487.000000,28204.000000,7354.000000
97,1.000000,1.000000,72535.000000,66101.000000,27132.000000,6850.000000
98,1.000000,1.000000,74156.000000,64708.000000,25499.000000,6170.000000
99,1.000000,1.000000,76793.000000,64006.000000,24219.000000,5894.000000
100,1.000000,1.000000,78965.000000,63308.000000,23334.000000,5322.000000
101,1.000000,1.000000,80879.000000,62319.000000,22187.000000,4958.000000
102,1.000000,1.000000,83865.000000,61247.000000,20647.000000,4405.000000
103,1.000000,1.000000,86185.000000,60275.000000,19641.000000,4009.000000
104,1.000000,1.000000,88969.000000,59730.000000,18387.000000,3638.000000
105,1.000000,1.000000,91252.000000,59035.000000,17520.000000,3250.000000
106,1.000000,1.000000,94492.000000,58541.000000,16799.000000,2935.000000
107,1.000000,1.000000,96920.000000,57765.000000,15789.000000,2736.000000
108,1.000000,1.000000,100471.000000,56580.000000,14771.000000,2415.000000
109,1.000000,1.000000,103721.000000,55663.000000,14048.000000,2149.000000
110,1.000000,2011.000000,106714.000000,54441.000000,12978.000000,1866.000000
111,1.000000,13193.000000,111053.000000,53129.000000,12006.000000,1774.000000
112,1.000000,26071.000000,115249.000000,51981.000000,11352.000000,1622.000000
113,1.000000,39857.000000,119427.000000,51016.000000,10388.000000,1322.000000
114,1.000000,55293.000000,123530.000000,50149.000000,9759.000000,1170.000000
115,1.000000,71260.000000,129730.000000,48576.000000,8860.000000,1088.000000
116,1.000000,89044.000000,133299.000000,47370.000000,8306.000000,922.000000
117,1.000000,108492.000000,138607.000000,45991.000000,7468.000000,788.000000
118,1.000000,130105.000000,144480.000000,43960.000000,6959.000000,695.000000
119,1.000000,155271.000000,149825.000000,43000.000000,6188.000000,613.000000
120,1.000000,181372.000000,155060.000000,40794.000000,5735.000000,547.000000
121,1.000000,212124.000000,161012.000000,38819.000000,5062.000000,442.000000
122,1.000000,244436.000000,166153.000000,37081.000000,4496.000000,343.000000
123,1.000000,278663.000000,171122.000000,35305.000000,3864.000000,262.000000
124,1.000000,311583.000000,172916.000000,33198.000000,3425.000000,224.000000
125,1.000000,344001.000000,174448.000000,30998.000000,2960.000000,192.000000
126,1.000000,377815.000000,175210.000000,28950.000000,2531.000000,152.000000
127,1.000000,411901.000000,173511.000000,26085.000000,2181.000000,112.000000
128,1.000000,445444.000000,170741.000000,23378.000000,1732.000000,99.000000
129,1.000000,481692.000000,164929.000000,20709.000000,1390.000000,65.000000
130,1.000000,517278.000000,158596.000000,18148.000000,1123.000000,44.000000
131,1.000000,556067.000000,150326.000000,15579.000000,898.000000,39.000000
132,1.000000,593941.000000,142519.000000,13019.000000,715.000000,20.000000
133,1.000000,632221.000000,132579.000000,10613.000000,472.000000,12.000000
134,1.000000,672878.000000,120790.000000,8417.000000,324.000000,15.000000
135,1.000000,715723.000000,108061.000000,6471.000000,231.000000,4.000000
136,1.000000,755884.000000,93937.000000,4804.000000,160.000000,2.000000
137,1.000000,796925.000000,79284.000000,3247.000000,94.000000,2.000000
138,1.000000,838399.000000,62486.000000,2030.000000,46.000000,1.000000
139,1.000000,882441.000000,45023.000000,1035.000000,17.000000,1.000000
140,21480929.000000,1060727.000000,23624.000000,344.000000,4.000000,1.000000


