0,1,95,165,220,203,213
1,1,109,205,227,198,228
2,1,144,236,280,254,238
3,1,160,266,288,286,262
4,1,190,313,353,326,284
5,1,241,375,375,351,319
6,1,258,383,422,376,325
7,1,357,477,498,436,391
8,1,394,533,541,500,398
9,1,475,643,592,543,461
10,1,534,748,732,609,529
11,1,694,869,806,685,543
12,1,825,999,991,765,581
13,1,1005,1156,1074,918,591
14,1,1206,1361,1212,947,740
15,1,1483,1643,1382,1043,795
16,1,1796,1885,1669,1163,876
17,1,2245,2259,1802,1407,985
18,1,2839,2651,2059,1573,1014
19,1,3377,3122,2358,1688,1125
20,1,4288,3840,2729,1825,1224
21,1,5422,4536,3131,2063,1368
22,1,6729,5336,3438,2323,1416
23,1,8813,6409,3970,2435,1543
24,1,11149,7507,4484,2850,1701
25,1,14572,9315,5363,3135,1876
26,1,18975,11525,5968,3440,1965
27,1,26200,13819,6939,3646,2083
28,1,36291,17407,7954,4108,2221
29,1,54545,21932,9348,4371,2336
30,1,90809,29004,10416,4788,2530
31,1,207132,43953,12228,4842,2463
32,21480929,1346411,84992,13984,5014,2603
33,1,206680,43822,11939,4951,2591
34,1,90952,29499,10482,4619,2455
35,1,54179,22084,9117,4408,2346
36,1,36706,17441,7951,4005,2266
37,1,26056,13856,7018,3747,2233
38,1,19196,11430,6011,3396,1946
39,1,14473,9338,5279,3102,1835
40,1,11096,7670,4617,2825,1695
41,1,8840,6383,3970,2604,1623
42,1,6993,5211,3472,2240,1483
43,1,5416,4508,3013,2121,1414
44,1,4350,3810,2755,1867,1236
45,1,3457,3193,2279,1668,1157
46,1,2716,2694,2114,1505,1080
47,1,2182,2352,1838,1361,1006
48,1,1862,1975,1575,1210,922
49,1,1489,1587,1311,1070,759
50,1,1250,1360,1194,985,746
51,1,1025,1208,1057,853,699
52,1,782,1034,922,808,570
53,1,677,820,789,748,548
54,1,572,735,735,666,498
55,1,415,599,650,587,450
56,1,387,540,567,494,432
57,1,316,444,503,487,372
58,1,286,411,443,392,385
59,1,211,340,400,372,297
60,1,175,313,328,327,306
61,1,161,272,310,273,246
62,1,148,245,288,269,231
63,1,115,235,237,233,213
64,1,95,182,210,190,197
