position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
48,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
49,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000


position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12,7.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13,63.000000,3.000000,4.000000,1.000000,1.000000,1.000000
14,192.000000,30.000000,3.000000,1.000000,1.000000,1.000000
15,336.000000,50.000000,8.000000,3.000000,1.000000,1.000000
16,531.000000,93.000000,12.000000,2.000000,1.000000,1.000000
17,604.000000,113.000000,13.000000,4.000000,1.000000,1.000000
18,703.000000,131.000000,28.000000,5.000000,1.000000,1.000000
19,808.000000,178.000000,32.000000,4.000000,3.000000,1.000000
20,788.000000,174.000000,41.000000,6.000000,1.000000,1.000000
21,880.000000,188.000000,40.000000,8.000000,1.000000,1.000000
22,885.000000,208.000000,43.000000,10.000000,1.000000,1.000000
23,920.000000,190.000000,47.000000,9.000000,1.000000,1.000000
24,935.000000,213.000000,59.000000,14.000000,2.000000,1.000000
25,1008.000000,216.000000,34.000000,9.000000,4.000000,1.000000
26,924.000000,208.000000,46.000000,10.000000,1.000000,1.000000
27,874.000000,208.000000,36.000000,8.000000,1.000000,1.000000
28,793.000000,192.000000,34.000000,7.000000,4.000000,1.000000
29,777.000000,170.000000,39.000000,5.000000,1.000000,1.000000
30,771.000000,148.000000,26.000000,9.000000,1.000000,1.000000
31,702.000000,141.000000,22.000000,2.000000,1.000000,1.000000
32,584.000000,128.000000,14.000000,4.000000,1.000000,1.000000
33,480.000000,84.000000,12.000000,4.000000,1.000000,1.000000
34,350.000000,56.000000,9.000000,2.000000,1.000000,1.000000
35,192.000000,33.000000,9.000000,1.000000,1.000000,1.000000
36,64.000000,11.000000,2.000000,1.000000,1.000000,1.000000
37,13.000000,2.000000,1.000000,1.000000,1.000000,1.000000
38,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
40,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
41,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
42,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
43,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
44,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
45,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
46,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
47,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
48,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
49,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000


position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12,9.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13,65.000000,9.000000,1.000000,1.000000,1.000000,1.000000
14,204.000000,28.000000,4.000000,1.000000,1.000000,1.000000
15,342.000000,61.000000,6.000000,1.000000,1.000000,1.000000
16,488.000000,90.000000,22.000000,4.000000,1.000000,1.000000
17,625.000000,110.000000,21.000000,3.000000,2.000000,1.000000
18,667.000000,130.000000,24.000000,4.000000,1.000000,1.000000
19,757.000000,161.000000,33.000000,7.000000,1.000000,1.000000
20,792.000000,150.000000,40.000000,4.000000,1.000000,2.000000
21,892.000000,199.000000,36.000000,7.000000,2.000000,1.000000
22,901.000000,208.000000,35.000000,8.000000,2.000000,1.000000
23,937.000000,222.000000,40.000000,13.000000,1.000000,1.000000
24,921.000000,226.000000,46.000000,7.000000,4.000000,1.000000
25,936.000000,229.000000,44.000000,9.000000,1.000000,2.000000
26,857.000000,201.000000,50.000000,8.000000,1.000000,1.000000
27,911.000000,186.000000,19.000000,3.000000,1.000000,1.000000
28,863.000000,164.000000,37.000000,10.000000,3.000000,1.000000
29,849.000000,162.000000,38.000000,9.000000,2.000000,1.000000
30,742.000000,156.000000,28.000000,5.000000,1.000000,1.000000
31,665.000000,130.000000,18.000000,7.000000,1.000000,2.000000
32,602.000000,116.000000,24.000000,4.000000,4.000000,1.000000
33,471.000000,69.000000,13.000000,5.000000,1.000000,1.000000
34,368.000000,63.000000,9.000000,1.000000,1.000000,1.000000
35,190.000000,22.000000,3.000000,2.000000,1.000000,1.000000
36,63.000000,9.000000,2.000000,1.000000,1.000000,1.000000
37,7.000000,1.000000,1.000000,1.000000,1.000000,1.000000
38,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
40,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
41,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
42,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
43,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
44,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
45,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
46,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
47,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
48,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
49,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000


