position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
15,1408.000000,1347.000000,1310.000000,1298.000000,1263.000000,1388.000000
16,1767.000000,1841.000000,1782.000000,1788.000000,1761.000000,1767.000000
17,2264.000000,2235.000000,2239.000000,2320.000000,2188.000000,2227.000000
18,2677.000000,2622.000000,2674.000000,2605.000000,2653.000000,2713.000000
19,3172.000000,3189.000000,3192.000000,3130.000000,3128.000000,3296.000000
20,3696.000000,3737.000000,3816.000000,3725.000000,3752.000000,3697.000000
21,4413.000000,4249.000000,4262.000000,4277.000000,4410.000000,4491.000000
22,5151.000000,5046.000000,5151.000000,5122.000000,5126.000000,5042.000000
23,5996.000000,5976.000000,5875.000000,5851.000000,5939.000000,5770.000000
24,6647.000000,6777.000000,6685.000000,6803.000000,6697.000000,6783.000000
25,7765.000000,7771.000000,7652.000000,7808.000000,7622.000000,7733.000000
26,8659.000000,8731.000000,8567.000000,8749.000000,8817.000000,8603.000000
27,9629.000000,9684.000000,9715.000000,9815.000000,9600.000000,9717.000000
28,10463.000000,10611.000000,10737.000000,10522.000000,10578.000000,10438.000000
29,11436.000000,11352.000000,11446.000000,11567.000000,11440.000000,11477.000000
30,12210.000000,11934.000000,11960.000000,11918.000000,12205.000000,11928.000000
31,12680.000000,12470.000000,12382.000000,12373.000000,12646.000000,12546.000000
32,12690.000000,12793.000000,12927.000000,12678.000000,12812.000000,12734.000000
33,12293.000000,12607.000000,12548.000000,12586.000000,12515.000000,12694.000000
34,12053.000000,12148.000000,11908.000000,12150.000000,12129.000000,12254.000000
35,11514.000000,11379.000000,11391.000000,11368.000000,11278.000000,11233.000000
36,10790.000000,10622.000000,10474.000000,10741.000000,10610.000000,10455.000000
37,9492.000000,9560.000000,9668.000000,9602.000000,9713.000000,9622.000000
38,8621.000000,8614.000000,8652.000000,8882.000000,8594.000000,8594.000000
39,7801.000000,7719.000000,7835.000000,7853.000000,7639.000000,7561.000000
40,6724.000000,6793.000000,6755.000000,6682.000000,6678.000000,6678.000000
41,1057.000000,1032.000000,963.000000,1035.000000,1041.000000,941.000000
42,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
43,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
44,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
45,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
46,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
47,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
48,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
49,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
50,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
51,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
52,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
53,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
54,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
55,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
56,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
57,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
58,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
59,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
60,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
61,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
62,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
63,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
64,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000


position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
