position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
30,1.000000,4325.000000,3250.000000,2135.000000,1468.000000,971.000000
31,1.000000,6756.000000,3803.000000,2488.000000,1592.000000,1113.000000
32,68802.000000,13679.000000,4687.000000,2536.000000,1629.000000,1113.000000
33,1.000000,6623.000000,3901.000000,2435.000000,1647.000000,1072.000000
34,1.000000,4332.000000,3147.000000,2074.000000,1441.000000,1027.000000
35,1.000000,3149.000000,2710.000000,1908.000000,1302.000000,975.000000
36,1.000000,2338.000000,2132.000000,1614.000000,1205.000000,906.000000
37,1.000000,1706.000000,1813.000000,1380.000000,1067.000000,762.000000
38,1.000000,1289.000000,1459.000000,1206.000000,930.000000,652.000000
39,1.000000,1027.000000,1226.000000,988.000000,754.000000,621.000000
40,1.000000,790.000000,931.000000,832.000000,653.000000,477.000000
41,1.000000,572.000000,707.000000,631.000000,487.000000,322.000000
42,1.000000,309.000000,428.000000,355.000000,308.000000,233.000000
43,1.000000,152.000000,217.000000,201.000000,139.000000,116.000000
44,1.000000,53.000000,108.000000,91.000000,63.000000,46.000000
45,1.000000,11.000000,6.000000,8.000000,10.000000,6.000000
46,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
47,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
48,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
49,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
50,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
51,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
52,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
53,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
54,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
55,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
56,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
57,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
58,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
59,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
60,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
61,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
62,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
63,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
64,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000


position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19,1.000000,6.000000,12.000000,13.000000,6.000000,5.000000
20,1.000000,71.000000,78.000000,88.000000,72.000000,51.000000
21,1.000000,163.000000,229.000000,224.000000,160.000000,117.000000
22,1.000000,309.000000,430.000000,375.000000,291.000000,245.000000
23,1.000000,570.000000,688.000000,610.000000,464.000000,348.000000
24,1.000000,782.000000,951.000000,837.000000,632.000000,503.000000
25,1.000000,953.000000,1181.000000,981.000000,745.000000,598.000000
26,1.000000,1311.000000,1492.000000,1187.000000,951.000000,646.000000
27,1.000000,1827.000000,1793.000000,1385.000000,1116.000000,776.000000
28,1.000000,2366.000000,2273.000000,1706.000000,1218.000000,849.000000
29,1.000000,3086.000000,2638.000000,1911.000000,1374.000000,909.000000
30,1.000000,4322.000000,3232.000000,2116.000000,1495.000000,1021.000000
31,1.000000,6688.000000,3824.000000,2345.000000,1624.000000,1047.000000
32,68583.000000,13600.000000,4545.000000,2541.000000,1652.000000,1059.000000
33,1.000000,6464.000000,3855.000000,2291.000000,1628.000000,1122.000000
34,1.000000,4333.000000,3333.000000,2236.000000,1460.000000,1050.000000
35,1.000000,3006.000000,2757.000000,1917.000000,1353.000000,907.000000
36,1.000000,2398.000000,2224.000000,1584.000000,1206.000000,869.000000
37,1.000000,1723.000000,1775.000000,1467.000000,1059.000000,724.000000
38,1.000000,1305.000000,1474.000000,1226.000000,865.000000,708.000000
39,1.000000,1033.000000,1214.000000,1037.000000,806.000000,562.000000
40,1.000000,833.000000,911.000000,818.000000,655.000000,444.000000
41,1.000000,545.000000,744.000000,610.000000,508.000000,354.000000
42,1.000000,292.000000,407.000000,382.000000,309.000000,245.000000
43,1.000000,191.000000,211.000000,211.000000,158.000000,118.000000
44,1.000000,79.000000,70.000000,65.000000,56.000000,58.000000
45,1.000000,5.000000,14.000000,13.000000,16.000000,7.000000
46,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
47,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
48,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
49,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
50,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
51,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
52,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
53,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
54,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
55,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
56,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
57,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
58,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
59,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
60,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
61,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
62,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
63,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
64,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000


position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
