number,primary,scatter1,scatter2,scatter3,scatter4,scatter5
94,1.000000,13589.000000,9027.000000,3761.000000,1139.000000,279.000000
95,1.000000,13246.000000,8562.000000,3595.000000,1104.000000,242.000000
96,1.000000,12637.000000,8241.000000,3334.000000,1008.000000,221.000000
97,1.000000,12323.000000,7837.000000,3192.000000,940.000000,192.000000
98,1.000000,11808.000000,7530.000000,3144.000000,853.000000,172.000000
99,1.000000,11474.000000,7485.000000,2790.000000,789.000000,164.000000
100,1.000000,11063.000000,7084.000000,2673.000000,739.000000,156.000000
101,1.000000,10906.000000,6798.000000,2577.000000,710.000000,115.000000
102,1.000000,10675.000000,6610.000000,2456.000000,611.000000,121.000000
103,1.000000,10382.000000,6397.000000,2331.000000,587.000000,110.000000
104,1.000000,10023.000000,6449.000000,2302.000000,549.000000,106.000000
105,1.000000,10135.000000,6063.000000,2175.000000,530.000000,95.000000
106,1.000000,9860.000000,6158.000000,2085.000000,477.000000,81.000000
107,1.000000,9799.000000,5970.000000,2082.000000,401.000000,59.000000
108,1.000000,9840.000000,5897.000000,1933.000000,408.000000,51.000000
109,1.000000,9650.000000,5778.000000,1774.000000,345.000000,50.000000
110,1.000000,9991.000000,5601.000000,1769.000000,344.000000,44.000000
111,1.000000,10034.000000,5578.000000,1593.000000,305.000000,44.000000
112,1.000000,10044.000000,5468.000000,1540.000000,279.000000,40.000000
113,1.000000,10359.000000,5482.000000,1506.000000,254.000000,31.000000
114,1.000000,10292.000000,5358.000000,1352.000000,257.000000,31.000000
115,1.000000,10623.000000,5412.000000,1333.000000,224.000000,13.000000
116,1.000000,10709.000000,5135.000000,1206.000000,200.000000,23.000000
117,1.000000,10803.000000,5207.000000,1200.000000,172.000000,11.000000
118,1.000000,11490.000000,4906.000000,1054.000000,151.000000,13.000000
119,1.000000,11523.000000,5094.000000,1065.000000,152.000000,15.000000
120,1.000000,11858.000000,4916.000000,968.000000,132.000000,6.000000
121,1.000000,12278.000000,4841.000000,808.000000,103.000000,8.000000
122,1.000000,12546.000000,4664.000000,837.000000,94.000000,4.000000
123,1.000000,12910.000000,4518.000000,721.000000,81.000000,5.000000
124,1.000000,13542.000000,4363.000000,672.000000,71.000000,10.000000
125,1.000000,14072.000000,4258.000000,596.000000,57.000000,5.000000
126,1.000000,14685.000000,4254.000000,584.000000,55.000000,1.000000
127,1.000000,14841.000000,3999.000000,547.000000,37.000000,3.000000
128,1.000000,15422.000000,3845.000000,423.000000,26.000000,2.000000
129,1.000000,16010.000000,3652.000000,368.000000,33.000000,1.000000
130,1.000000,16489.000000,3362.000000,332.000000,16.000000,1.000000
131,1.000000,17236.000000,3085.000000,268.000000,17.000000,1.000000
132,1.000000,17799.000000,2899.000000,242.000000,11.000000,1.000000
133,1.000000,18435.000000,2710.000000,176.000000,6.000000,1.000000
134,1.000000,18738.000000,2415.000000,137.000000,6.000000,1.000000
135,1.000000,19496.000000,2066.000000,121.000000,3.000000,1.000000
136,1.000000,20102.000000,1795.000000,89.000000,1.000000,1.000000
137,1.000000,20849.000000,1497.000000,65.000000,1.000000,1.000000
138,1.000000,21693.000000,1173.000000,26.000000,1.000000,1.000000
139,1.000000,22196.000000,883.000000,14.000000,1.000000,1.000000
