number,primary,scatter1,scatter2,scatter3,scatter4,scatter5
99,1.000000,415.000000,131.000000,11.000000,2.000000,1.000000
100,1.000000,392.000000,134.000000,15.000000,1.000000,1.000000
101,1.000000,359.000000,119.000000,15.000000,2.000000,1.000000
102,1.000000,336.000000,98.000000,9.000000,2.000000,1.000000
103,1.000000,294.000000,108.000000,12.000000,1.000000,1.000000
104,1.000000,273.000000,78.000000,9.000000,1.000000,1.000000
105,1.000000,263.000000,79.000000,6.000000,1.000000,1.000000
106,1.000000,241.000000,82.000000,8.000000,1.000000,1.000000
107,1.000000,248.000000,71.000000,7.000000,1.000000,1.000000
108,1.000000,247.000000,79.000000,4.000000,1.000000,1.000000
109,1.000000,207.000000,77.000000,6.000000,1.000000,1.000000
110,1.000000,256.000000,71.000000,8.000000,1.000000,1.000000
111,1.000000,258.000000,66.000000,6.000000,1.000000,1.000000
112,1.000000,237.000000,63.000000,3.000000,1.000000,1.000000
113,1.000000,273.000000,53.000000,4.000000,1.000000,1.000000
114,1.000000,258.000000,63.000000,3.000000,1.000000,1.000000
115,1.000000,326.000000,59.000000,3.000000,1.000000,1.000000
116,1.000000,286.000000,47.000000,6.000000,1.000000,1.000000
117,1.000000,346.000000,63.000000,2.000000,1.000000,1.000000
118,1.000000,380.000000,48.000000,7.000000,1.000000,1.000000
119,1.000000,349.000000,58.000000,2.000000,1.000000,1.000000
120,1.000000,398.000000,60.000000,2.000000,1.000000,1.000000
121,1.000000,412.000000,49.000000,1.000000,1.000000,1.000000
122,1.000000,436.000000,58.000000,3.000000,1.000000,1.000000
123,1.000000,477.000000,62.000000,1.000000,1.000000,1.000000
124,1.000000,572.000000,38.000000,1.000000,1.000000,1.000000
125,1.000000,526.000000,40.000000,1.000000,1.000000,1.000000
126,1.000000,572.000000,57.000000,3.000000,1.000000,1.000000
127,1.000000,611.000000,54.000000,1.000000,1.000000,1.000000
128,1.000000,630.000000,47.000000,1.000000,1.000000,1.000000
129,1.000000,680.000000,51.000000,1.000000,1.000000,1.000000
130,1.000000,675.000000,56.000000,1.000000,1.000000,1.000000
131,1.000000,699.000000,58.000000,2.000000,1.000000,1.000000
132,1.000000,829.000000,36.000000,1.000000,1.000000,1.000000
133,1.000000,827.000000,31.000000,1.000000,1.000000,1.000000
134,1.000000,861.000000,29.000000,1.000000,1.000000,1.000000
135,1.000000,861.000000,16.000000,1.000000,1.000000,1.000000
136,1.000000,894.000000,21.000000,1.000000,1.000000,1.000000
137,1.000000,905.000000,17.000000,1.000000,1.000000,1.000000
138,1.000000,938.000000,20.000000,1.000000,1.000000,1.000000
139,1.000000,969.000000,10.000000,1.000000,1.000000,1.000000
140,116324.000000,1144.000000,6.000000,1.000000,1.000000,1.000000


number,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
20,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
21,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
22,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
23,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
24,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
26,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
27,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
28,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
29,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
30,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
31,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
32,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
33,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
34,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
35,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
36,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
37,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
38,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
40,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
41,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
42,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
43,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
44,1.000000,1.000000,1.000000,1.000000,1.000000,3.000000
45,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
46,1.000000,1.000000,1.000000,1.000000,1.000000,4.000000
47,1.000000,1.000000,1.000000,1.000000,1.000000,6.000000
48,1.000000,1.000000,1.000000,1.000000,2.000000,7.000000
49,1.000000,1.000000,1.000000,1.000000,1.000000,3.000000
50,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000
51,1.000000,1.000000,1.000000,1.000000,7.000000,9.000000
